ID,性别,专业,学历,毕业去向,就业行业,岗位类型,工作城市,城市等级,期望薪资,实际薪资,期望薪资达成率,是否有实习经历,专业-行业匹配度,学历-岗位匹配度,满意度评分,岗位ID
19383,男,文学,博士,创业,文化传媒,创业者,上海,一线,14855,22000,1.481,是,中,中,4,JOBC7FC7741EA
19384,女,生物学,博士,就业,医疗,药品研发助理,北京,一线,16174,28500,1.762,否,中,高,4,JOBDF0B5AE1B0
19385,男,历史学,硕士,出国,教育,海外项目助理,杭州,新一线,16304,14800,0.908,否,高,高,4,JOB28C178C188
19386,女,土木工程,博士,就业,房地产,项目运营专员,广州,一线,12291,19500,1.587,是,中,中,4,JOBE810D80299
19387,女,临床医学,本科,创业,科研,项目负责人,广州,一线,3079,3000,0.974,否,中,中,3,JOBCFB345B094
19388,女,生物学,博士,创业,互联网,创业者,南京,新一线,10138,13900,1.371,否,低,中,4,JOBBF803E6FA3
19389,女,金融学,博士,出国,互联网,海外管培生,西安,新一线,7488,8900,1.189,是,中,高,5,JOBD05332FBF4
19390,男,哲学,博士,自由职业,教育,独立编辑,西安,新一线,6868,7400,1.077,是,高,高,5,JOBA9304CEDC2
19391,男,哲学,硕士,自由职业,文化传媒,自由撰稿人,武汉,新一线,5369,5600,1.043,是,中,中,4,JOBDDE6B21B18
19392,女,计算机,本科,创业,金融,联合创始人,广州,一线,6634,6900,1.04,否,低,中,3,JOBE80E29F843
19393,男,文学,硕士,自由职业,互联网,独立编辑,成都,新一线,11157,16200,1.452,是,中,高,4,JOB8BD6FD0D6F
19394,女,生物学,本科,就业,医疗,医学检验师,西安,新一线,12852,13800,1.074,是,中,中,3,JOB4BD366EFFF
19395,男,化学,硕士,创业,互联网,创业者,上海,一线,18707,26700,1.427,是,低,高,4,JOB82E4090E51
19396,女,生物学,硕士,就业,医疗,临床医生,广州,一线,4822,6400,1.327,否,中,高,4,JOB9ACF2FC3B5
19397,女,土木工程,博士,创业,房地产,产品创业者,广州,一线,5226,7200,1.378,是,中,中,4,JOBF256641059
19398,女,哲学,硕士,公务员,政府机关,基层治理专员,重庆,新一线,16773,16100,0.96,否,中,中,3,JOB9B18F2B714
19399,女,计算机,本科,自由职业,互联网,网站开发者,深圳,一线,14441,21600,1.496,否,高,中,5,JOB5F939DE0C4
19400,男,物理学,本科,就业,制造业,工艺工程师,南京,新一线,8195,8800,1.074,是,中,中,3,JOB2FEBFAE887
19401,男,历史学,硕士,出国,科研,海外项目助理,武汉,新一线,8498,6400,0.753,否,低,高,2,JOBBAE1E3CA92
19402,女,土木工程,硕士,公务员,政府机关,公共事务助理,成都,新一线,3610,3600,0.997,否,低,中,3,JOBB691414AFF
19403,男,临床医学,硕士,公务员,政府机关,公务员,武汉,新一线,13048,12100,0.927,是,低,中,3,JOB8BE15BD7F9
19404,男,物理学,硕士,就业,互联网,数据分析师,成都,新一线,15156,18000,1.188,否,低,高,4,JOB8E6ABE8E66
19405,男,哲学,本科,公务员,政府,事业单位职员,成都,新一线,15750,14700,0.933,是,低,中,3,JOBDE91751C3C
19406,男,哲学,博士,自由职业,文化传媒,独立编辑,上海,一线,19478,26500,1.361,是,中,中,4,JOBB439CCDBC7
19407,男,文学,硕士,创业,房地产,创业者,深圳,一线,15817,20600,1.302,是,低,中,4,JOB6B86FE0DF6
19408,男,生物学,硕士,创业,科研,创业者,武汉,新一线,14327,14900,1.04,否,高,高,4,JOBEE92D9C7CC
19409,女,临床医学,本科,公务员,政府机关,选调生,成都,新一线,12676,10000,0.789,否,低,中,2,JOB2EC2A27BAB
19410,男,历史学,本科,创业,政府机关,项目负责人,上海,一线,15391,17200,1.118,是,中,中,4,JOBC95044A95A
19411,男,土木工程,硕士,自由职业,文化传媒,独立咨询顾问,杭州,新一线,5011,5500,1.098,是,低,中,3,JOB5EAEA98D1D
19412,女,历史学,本科,自由职业,教育,自由撰稿人,西安,新一线,11205,9400,0.839,是,高,中,4,JOB6B8906D310
19413,女,临床医学,硕士,自由职业,医疗,内容创作者,南京,新一线,4971,6200,1.247,否,高,高,5,JOB19C63DC909
19414,男,文学,博士,创业,房地产,联合创始人,北京,一线,9908,13700,1.383,否,低,中,3,JOB0455597EDA
19415,女,金融学,硕士,出国,金融,海外项目助理,西安,新一线,7278,8000,1.099,是,高,高,4,JOB0429C300E1
19416,男,文学,本科,创业,房地产,项目负责人,重庆,新一线,13830,11900,0.86,是,低,中,3,JOBD0F8F69775
19417,男,物理学,硕士,自由职业,科研,项目制顾问,成都,新一线,17426,20600,1.182,是,高,高,5,JOB9323E88E4C
19418,女,计算机,硕士,公务员,政府,行政专员,深圳,一线,12367,13500,1.092,是,低,中,3,JOB42D43820D9
19419,男,金融学,本科,就业,政府,行政专员,北京,一线,17813,19300,1.083,是,低,中,3,JOBB5BBD2B59C
19420,女,历史学,硕士,公务员,政府机关,政策研究员,广州,一线,16576,19300,1.164,否,中,中,4,JOB78269178D9
19421,男,金融学,硕士,公务员,政府,行政执法辅助岗,杭州,新一线,10685,10500,0.983,否,低,中,3,JOBE1AE3D38A6
19422,男,物理学,硕士,就业,制造业,产品工程师,南京,新一线,19660,23100,1.175,否,中,中,4,JOBE35546500E
19423,男,物理学,本科,公务员,政府机关,行政专员,广州,一线,10717,9700,0.905,否,低,中,3,JOBF83831154F
19424,女,哲学,硕士,自由职业,互联网,自由撰稿人,杭州,新一线,4349,6200,1.426,是,低,高,4,JOB861E2E5ABC
19425,男,金融学,本科,公务员,政府,公共事务助理,武汉,新一线,15621,11400,0.73,否,低,中,2,JOB176543CD4F
19426,男,哲学,硕士,创业,互联网,项目负责人,杭州,新一线,15343,19200,1.251,否,低,高,4,JOB36B7E28B9C
19427,男,金融学,本科,创业,互联网,产品创业者,成都,新一线,8572,9000,1.05,否,中,中,4,JOBD96583F561
19428,女,金融学,硕士,就业,政府,公共事务助理,武汉,新一线,3749,3800,1.014,否,低,中,3,JOB176543CD4F
19429,男,计算机,博士,公务员,政府机关,政策研究员,深圳,一线,8231,11600,1.409,否,低,高,4,JOB9982DBE5B7
19430,女,哲学,博士,创业,教育,联合创始人,南京,新一线,16727,19100,1.142,是,高,高,5,JOB9D2C60E931
19431,女,历史学,博士,创业,互联网,产品创业者,重庆,新一线,12582,18800,1.494,是,低,中,3,JOB589C28587C
19432,男,生物学,博士,就业,医疗,临床医生,成都,新一线,5129,7100,1.384,否,中,高,4,JOB9EB965D258
19433,男,计算机,硕士,创业,金融,联合创始人,重庆,新一线,16206,17600,1.086,否,低,高,3,JOBEEF029F1A2
19434,男,临床医学,硕士,公务员,政府,事业单位职员,杭州,新一线,9376,10900,1.163,是,低,中,3,JOBFABFB33282
19435,女,物理学,博士,就业,制造业,设备工程师,北京,一线,13758,20100,1.461,否,中,中,4,JOB160392D2DC
19436,男,计算机,博士,出国,制造业,海外软件工程师,重庆,新一线,8867,7900,0.891,否,中,高,3,JOBB5C9CAD3AA
19437,女,生物学,硕士,就业,教育,课程顾问,重庆,新一线,16624,17200,1.035,是,中,中,3,JOB4316A74101
19438,男,文学,博士,出国,教育,海外研究生,西安,新一线,14023,12100,0.863,否,高,高,4,JOB20ADACC6D0
19439,男,化学,博士,自由职业,教育,自由职业者,广州,一线,17940,18900,1.054,是,低,高,4,JOB764AFA295E
19440,女,生物学,博士,创业,医疗,创业者,西安,新一线,17113,22900,1.338,是,中,高,5,JOBE5C7A60192
19441,女,文学,博士,出国,教育,海外研究生,成都,新一线,15970,14700,0.92,否,高,高,4,JOBB400ECE82F
19442,男,哲学,博士,公务员,政府机关,选调生,杭州,新一线,7530,11400,1.514,是,中,中,4,JOB4081F74D25
19443,男,历史学,本科,公务员,政府机关,政策研究员,杭州,新一线,15287,16900,1.106,是,中,低,4,JOBF50C331F2A
19444,男,化学,硕士,公务员,政府机关,政策研究员,上海,一线,5454,6200,1.137,否,低,中,3,JOB1BFB2F2305
19445,女,历史学,硕士,创业,教育,创业者,上海,一线,19608,27200,1.387,是,高,中,5,JOBFBF24D43AD
19446,女,金融学,博士,自由职业,教育,自由职业者,武汉,新一线,6836,7500,1.097,否,低,高,3,JOB104F41582A
19447,女,生物学,硕士,创业,科研,联合创始人,西安,新一线,7873,8800,1.118,是,高,高,5,JOBAF127A4F73
19448,女,生物学,本科,就业,医疗,医学检验师,上海,一线,16926,27000,1.595,是,中,中,4,JOBFC107BDC2C
19449,女,金融学,博士,自由职业,金融,自由职业者,深圳,一线,7262,13200,1.818,否,高,中,4,JOB47EE6BD691
19450,男,历史学,硕士,出国,教育,海外研究助理,武汉,新一线,15528,12900,0.831,是,高,高,4,JOB7276B418CB
19451,女,金融学,博士,出国,互联网,海外项目助理,杭州,新一线,12266,15000,1.223,否,中,高,4,JOB30EC793081
19452,女,临床医学,博士,就业,教育,教师,南京,新一线,7722,9700,1.256,否,中,高,4,JOB095B945268
19453,女,化学,硕士,就业,制造业,质量工程师,西安,新一线,16686,18500,1.109,是,中,中,3,JOBB018EC297E
19454,女,计算机,本科,自由职业,互联网,独立开发者,成都,新一线,16589,19400,1.169,是,高,中,4,JOB41F8D11F80
19455,男,金融学,本科,公务员,政府机关,政策研究员,成都,新一线,15257,11500,0.754,否,低,低,2,JOB5E50BF9F47
19456,女,土木工程,硕士,公务员,政府机关,选调生,西安,新一线,10147,10200,1.005,是,低,中,4,JOB24B3FFB4BB
19457,女,土木工程,博士,出国,教育,海外项目助理,西安,新一线,14969,11300,0.755,是,低,高,2,JOBFAD07BAB4C
19458,男,文学,博士,公务员,政府,公务员,广州,一线,6751,8500,1.259,否,低,中,3,JOBD54F9905FF
19459,女,土木工程,博士,公务员,政府,选调生,武汉,新一线,5460,6200,1.136,是,低,中,3,JOB6508A6E125
19460,女,金融学,硕士,出国,互联网,海外项目助理,西安,新一线,16595,17100,1.03,是,中,高,4,JOBCD705A8B5D
19461,女,物理学,硕士,自由职业,教育,自由职业者,武汉,新一线,6691,6900,1.031,是,中,中,3,JOB104F41582A
19462,女,计算机,硕士,出国,互联网,海外研究生,南京,新一线,8780,11900,1.355,是,高,高,5,JOB170FB703CB
19463,女,历史学,本科,公务员,政府机关,公共事务助理,南京,新一线,13697,12700,0.927,否,中,中,3,JOB099083287D
19464,男,计算机,本科,自由职业,教育,独立开发者,成都,新一线,15895,10900,0.686,否,低,中,2,JOB61A52E0DB5
19465,女,物理学,博士,自由职业,科研,自由职业者,成都,新一线,7910,11400,1.441,否,高,高,5,JOB1BC83872B6
19466,女,文学,本科,创业,文化传媒,联合创始人,广州,一线,12959,11200,0.864,是,中,中,3,JOB7039C64F3E
19467,男,计算机,硕士,自由职业,文化传媒,自由产品顾问,广州,一线,7569,6600,0.872,否,低,中,2,JOB7B2B94EFF0
19468,女,金融学,博士,自由职业,教育,项目制顾问,上海,一线,18832,21500,1.142,否,低,高,3,JOBD318ED359F
19469,男,土木工程,博士,创业,互联网,联合创始人,杭州,新一线,18653,28000,1.501,是,低,中,4,JOB5249DA047A
19470,男,历史学,硕士,出国,教育,海外项目助理,成都,新一线,17509,16500,0.942,是,高,高,4,JOBAE1465B6ED
19471,女,计算机,博士,自由职业,文化传媒,独立开发者,深圳,一线,18127,21000,1.158,否,低,中,3,JOBB6EF850811
19472,女,化学,本科,出国,科研,海外研究生,武汉,新一线,12561,9700,0.772,是,高,中,3,JOB571D5FAC1F
19473,女,生物学,博士,创业,科研,联合创始人,广州,一线,14340,18000,1.255,否,高,高,5,JOBF50B65D10B
19474,女,物理学,本科,出国,科研,海外研究生,武汉,新一线,17173,13300,0.774,是,高,中,4,JOB571D5FAC1F
19475,女,历史学,博士,公务员,政府,行政执法辅助岗,武汉,新一线,19769,22900,1.158,否,低,中,3,JOB3A9A4842B1
19476,女,化学,硕士,自由职业,教育,项目制顾问,成都,新一线,16985,13100,0.771,否,低,中,2,JOB9096DF523A
19477,女,生物学,本科,自由职业,教育,自由职业者,南京,新一线,12957,11800,0.911,是,中,中,3,JOB00F2EC282A
19478,女,临床医学,本科,创业,科研,项目负责人,成都,新一线,8274,7100,0.858,否,中,中,3,JOB151D55A62C
19479,男,历史学,硕士,公务员,政府,选调生,武汉,新一线,15932,15300,0.96,是,低,中,3,JOB6508A6E125
19480,女,哲学,硕士,公务员,政府机关,基层治理专员,杭州,新一线,18125,23100,1.274,是,中,中,4,JOB5169DCAFE5
19481,男,生物学,硕士,出国,科研,海外研究助理,北京,一线,7081,7100,1.003,否,高,高,4,JOB846F1F3291
19482,男,土木工程,博士,自由职业,建筑,独立咨询顾问,成都,新一线,8203,11700,1.426,是,高,中,5,JOB8E18D4BDB0
19483,女,土木工程,博士,公务员,政府机关,事业单位职员,深圳,一线,12550,16100,1.283,否,低,中,3,JOBC4F2120D18
19484,男,化学,硕士,就业,医疗,医学检验师,北京,一线,17025,27900,1.639,否,中,高,5,JOB87D675118B
19485,女,生物学,本科,就业,教育,教务专员,成都,新一线,12037,10800,0.897,是,中,中,3,JOB7AF5D40A59
19486,女,历史学,本科,创业,政府机关,工作室负责人,武汉,新一线,10601,9100,0.858,否,中,中,3,JOB19407E31DE
19487,男,文学,博士,就业,教育,辅导员,重庆,新一线,6617,8700,1.315,是,高,高,5,JOB0A666E6FC4
19488,男,计算机,博士,公务员,政府机关,事业单位职员,武汉,新一线,10601,13500,1.273,是,低,中,3,JOB8BEBBDEEC3
19489,女,文学,硕士,自由职业,教育,课程创作者,南京,新一线,13059,13200,1.011,否,高,中,3,JOBAE2476346C
19490,女,文学,硕士,出国,教育,海外研究助理,杭州,新一线,18871,15100,0.8,否,高,高,4,JOB0A715186F3
19491,女,土木工程,本科,自由职业,教育,内容创作者,重庆,新一线,19215,13000,0.677,否,低,中,2,JOB8EF297CB57
19492,男,历史学,本科,就业,科研,科研助理,广州,一线,17527,17500,0.998,否,低,中,2,JOBCD24E51607
19493,男,哲学,博士,就业,教育,辅导员,西安,新一线,6241,7900,1.266,是,高,高,5,JOB6563A036FA
19494,女,物理学,硕士,出国,教育,海外研究助理,成都,新一线,4670,3600,0.771,否,中,高,3,JOB1BFDA78474
19495,男,化学,硕士,自由职业,科研,自由职业者,武汉,新一线,19220,20500,1.067,否,高,高,4,JOB00E8836763
19496,男,临床医学,本科,公务员,政府机关,行政执法辅助岗,武汉,新一线,13788,10800,0.783,是,低,中,3,JOB580AFA90DA
19497,男,历史学,博士,自由职业,文化传媒,独立编辑,深圳,一线,11494,13700,1.192,否,中,中,4,JOBB0BC2283F8
19498,女,金融学,博士,出国,金融,海外项目助理,北京,一线,12701,18500,1.457,否,高,高,5,JOB4ABDCAB3F2
19499,女,文学,硕士,公务员,政府机关,基层治理专员,武汉,新一线,15089,15400,1.021,是,低,中,3,JOB638843AD3F
19500,女,化学,本科,自由职业,文化传媒,内容创作者,广州,一线,7738,6400,0.827,是,低,中,3,JOBF2E6735FC6
19501,女,哲学,硕士,出国,教育,海外研究生,重庆,新一线,19011,16200,0.852,是,高,高,5,JOB9D3739835E
19502,男,计算机,硕士,公务员,政府机关,公务员,广州,一线,3433,3500,1.02,是,低,中,3,JOBDC24868B86
19503,男,临床医学,博士,创业,医疗,项目负责人,成都,新一线,6956,9400,1.351,否,高,高,5,JOBCC6E81AF9D
19504,女,哲学,硕士,公务员,政府机关,行政专员,杭州,新一线,19280,25700,1.333,是,中,中,5,JOB7AC74134C0
19505,男,临床医学,博士,创业,医疗,工作室负责人,上海,一线,19533,32000,1.638,是,高,高,5,JOB78EDBC0287
19506,男,计算机,硕士,自由职业,教育,自由数据分析师,广州,一线,10208,10000,0.98,否,低,中,3,JOB5B0F0D4E5F
19507,女,生物学,博士,就业,制造业,质量工程师,深圳,一线,14269,23900,1.675,是,低,中,4,JOB97C42AEEF5
19508,女,计算机,博士,公务员,政府,事业单位职员,深圳,一线,8488,12300,1.449,是,低,中,3,JOB9B2B0D96C7
19509,男,临床医学,硕士,就业,科研,科研助理,武汉,新一线,12877,17100,1.328,是,中,高,5,JOB2C16232D5C
19510,男,土木工程,硕士,创业,互联网,联合创始人,重庆,新一线,15171,16600,1.094,是,低,高,3,JOB6E220928E5
19511,男,物理学,博士,出国,教育,海外研究生,广州,一线,19674,16600,0.844,否,中,高,3,JOB21BB64DB54
19512,女,土木工程,本科,自由职业,建筑,项目制顾问,深圳,一线,12484,14800,1.186,否,高,中,4,JOBAF9AFBC40A
19513,女,土木工程,博士,出国,教育,海外研究助理,武汉,新一线,9167,7400,0.807,是,低,高,3,JOB7276B418CB
19514,女,金融学,硕士,公务员,政府,基层治理专员,广州,一线,7374,7800,1.058,否,低,中,3,JOB8EE4D63B92
19515,女,土木工程,硕士,就业,政府,公共事务助理,广州,一线,8665,8600,0.992,否,低,中,3,JOB0F2A32182F
19516,男,历史学,硕士,创业,教育,工作室负责人,成都,新一线,15170,16700,1.101,是,高,中,5,JOBBDD4986A74
19517,男,临床医学,本科,出国,科研,海外研究生,南京,新一线,18956,13600,0.717,否,中,中,2,JOBF3D76E089A
19518,女,生物学,本科,公务员,政府,行政执法辅助岗,南京,新一线,6737,5700,0.846,否,低,中,2,JOBBAEF29C207
19519,男,哲学,硕士,就业,文化传媒,编辑,武汉,新一线,18329,19200,1.048,是,中,中,4,JOB35E98594C2
19520,男,临床医学,博士,就业,教育,教师,南京,新一线,16126,20000,1.24,否,中,高,4,JOB095B945268
19521,男,临床医学,硕士,创业,互联网,联合创始人,深圳,一线,15354,23100,1.504,是,低,高,4,JOB13E86F8B2D
19522,女,物理学,硕士,创业,互联网,联合创始人,武汉,新一线,12521,13200,1.054,否,低,高,3,JOBB277493EFC
19523,男,计算机,博士,出国,科研,海外研发助理,深圳,一线,11878,12900,1.086,是,中,高,4,JOB7659969E54
19524,女,土木工程,本科,创业,互联网,工作室负责人,广州,一线,6207,6700,1.079,是,低,中,3,JOB45CD6128F3
19525,男,历史学,博士,创业,互联网,工作室负责人,南京,新一线,18783,28100,1.496,否,低,中,4,JOBA816C2052E
19526,男,文学,博士,创业,文化传媒,工作室负责人,重庆,新一线,16892,14600,0.864,否,中,中,3,JOBF8B15F47EB
19527,男,物理学,博士,创业,互联网,产品创业者,上海,一线,13739,21200,1.543,否,低,中,4,JOBA4A54F66E5
19528,女,哲学,博士,公务员,政府机关,公务员,广州,一线,10971,16100,1.468,是,中,中,4,JOBDC24868B86
19529,女,临床医学,本科,创业,科研,产品创业者,南京,新一线,18095,17200,0.951,否,中,中,3,JOB753202CA58
19530,男,历史学,本科,出国,教育,海外研究生,西安,新一线,19751,13000,0.658,否,高,中,3,JOB20ADACC6D0
19531,女,金融学,博士,就业,政府,政策研究员,南京,新一线,11289,13900,1.231,否,低,高,3,JOBB9C14E8A7A
19532,男,哲学,博士,创业,政府机关,创业者,武汉,新一线,11601,14600,1.259,是,中,中,4,JOB0ACED82A9B
19533,女,临床医学,本科,就业,科研,科研助理,武汉,新一线,5128,5000,0.975,否,中,中,3,JOB2C16232D5C
19534,女,计算机,硕士,自由职业,文化传媒,自由产品顾问,杭州,新一线,19454,18300,0.941,否,低,中,2,JOB482466199F
19535,男,历史学,博士,自由职业,文化传媒,内容创作者,重庆,新一线,5810,6100,1.05,是,中,中,4,JOBC16C5C37AD
19536,女,临床医学,硕士,就业,教育,教师,成都,新一线,11244,11100,0.987,否,中,中,3,JOBA7BFDCFF59
19537,男,文学,硕士,出国,教育,海外项目助理,上海,一线,9868,8800,0.892,否,高,高,4,JOBD5401CF6FA
19538,女,金融学,硕士,创业,银行,联合创始人,北京,一线,17495,27200,1.555,是,中,中,4,JOB96278326B0
19539,女,化学,硕士,自由职业,文化传媒,独立咨询顾问,成都,新一线,15574,14800,0.95,是,低,中,3,JOBBB831DCD1D
19540,女,哲学,硕士,就业,科研,科研助理,西安,新一线,18175,22300,1.227,是,低,高,4,JOB99D52CC6BD
19541,女,金融学,本科,公务员,政府,行政执法辅助岗,西安,新一线,16588,14200,0.856,是,低,中,2,JOB05F05DD1BE
19542,男,生物学,本科,自由职业,文化传媒,项目制顾问,深圳,一线,13230,10600,0.801,否,低,中,2,JOB6C1AA1FEEB
19543,男,临床医学,博士,出国,科研,海外研究生,西安,新一线,11477,11800,1.028,是,中,高,4,JOB95A79C3D95
19544,男,生物学,本科,出国,教育,海外项目助理,上海,一线,14794,12400,0.838,是,中,中,3,JOBD5401CF6FA
19545,女,计算机,硕士,出国,科研,海外软件工程师,南京,新一线,17641,15200,0.862,否,中,高,4,JOB9B233A42B3
19546,女,临床医学,博士,公务员,政府机关,选调生,深圳,一线,7279,9800,1.346,否,低,中,3,JOBB2E3E338F6
19547,女,土木工程,博士,创业,房地产,联合创始人,广州,一线,15022,24300,1.618,是,中,中,4,JOB1685786E00
19548,女,金融学,硕士,公务员,政府机关,行政执法辅助岗,重庆,新一线,14565,14500,0.996,是,低,中,3,JOB86EE6051B3
19549,男,物理学,硕士,出国,科研,海外研究助理,南京,新一线,15056,16000,1.063,是,高,高,5,JOBA9E5AAEFF2
19550,男,临床医学,硕士,自由职业,教育,项目制顾问,广州,一线,11217,12200,1.088,是,中,中,4,JOB450BFF8BC5
19551,女,文学,硕士,创业,互联网,项目负责人,重庆,新一线,11267,15100,1.34,是,中,高,5,JOBE9E4716478
19552,男,金融学,博士,就业,政府,基层治理专员,南京,新一线,8203,9700,1.182,否,低,中,3,JOB3CEE25F97E
19553,女,历史学,博士,出国,教育,海外项目助理,南京,新一线,10978,9700,0.884,否,高,高,4,JOBCAB2DCF23E
19554,女,临床医学,硕士,创业,医疗,创业者,深圳,一线,6566,10200,1.553,是,高,高,5,JOBB5DB88376A
19555,女,土木工程,博士,自由职业,文化传媒,自由职业者,成都,新一线,11604,12500,1.077,是,低,中,3,JOBAC829F0413
19556,女,土木工程,本科,自由职业,建筑,内容创作者,武汉,新一线,18415,18300,0.994,是,高,中,4,JOB52D7BB8B34
19557,男,临床医学,博士,出国,科研,海外研究助理,北京,一线,18290,23100,1.263,是,中,高,4,JOB846F1F3291
19558,男,文学,硕士,就业,教育,教务专员,南京,新一线,19704,22100,1.122,否,高,中,4,JOB72F0291C8F
19559,男,生物学,博士,公务员,政府,选调生,成都,新一线,14187,15700,1.107,是,低,中,3,JOB3441FA188E
19560,女,化学,本科,就业,科研,数据研究助理,杭州,新一线,16212,21600,1.332,是,高,中,5,JOBCF40FA530A
19561,女,计算机,本科,公务员,政府机关,公务员,南京,新一线,4890,3900,0.798,是,低,中,2,JOB4DCB780BC9
19562,男,哲学,本科,公务员,政府机关,基层治理专员,重庆,新一线,8454,7900,0.934,是,中,中,4,JOB9B18F2B714
19563,男,历史学,本科,就业,政府机关,行政执法辅助岗,广州,一线,6758,7300,1.08,是,中,中,3,JOB12F4F6CBFB
19564,女,金融学,本科,创业,银行,联合创始人,重庆,新一线,14823,16100,1.086,是,中,中,4,JOB387289E88C
19565,男,临床医学,硕士,出国,教育,海外研究生,南京,新一线,10545,9100,0.863,是,中,高,4,JOB0BF52DDAB8
19566,女,化学,博士,自由职业,教育,内容创作者,上海,一线,4872,6300,1.293,否,低,高,4,JOB959BF88923
19567,男,生物学,硕士,就业,教育,课程顾问,重庆,新一线,19211,18800,0.979,否,中,中,3,JOB4316A74101
19568,女,土木工程,博士,出国,建筑,海外研究助理,上海,一线,4340,6000,1.382,是,高,高,5,JOB8F78020A64
19569,男,哲学,博士,创业,教育,项目负责人,西安,新一线,4512,4900,1.086,否,高,高,5,JOB09FCFAF671
19570,女,土木工程,硕士,公务员,政府机关,事业单位职员,深圳,一线,10637,13400,1.26,是,低,中,3,JOBC4F2120D18
19571,女,物理学,硕士,自由职业,文化传媒,自由职业者,北京,一线,10343,10000,0.967,是,低,中,2,JOB299937C784
19572,女,生物学,博士,创业,医疗,工作室负责人,北京,一线,4062,6200,1.526,是,中,高,5,JOB742A89EC25
19573,女,生物学,本科,就业,科研,科研助理,北京,一线,16681,25400,1.523,是,高,中,5,JOB0F2282C7D5
19574,女,物理学,本科,公务员,政府,基层治理专员,南京,新一线,10862,9100,0.838,否,低,中,2,JOB3CEE25F97E
19575,女,临床医学,本科,出国,科研,海外研究助理,重庆,新一线,3837,2600,0.678,是,中,中,3,JOB51A144863B
19576,男,历史学,硕士,自由职业,互联网,内容创作者,杭州,新一线,18061,24200,1.34,是,低,高,4,JOB9939ECCE35
19577,男,哲学,硕士,创业,政府机关,产品创业者,杭州,新一线,19477,22900,1.176,是,中,中,4,JOB65CC32102E
19578,女,文学,博士,创业,房地产,项目负责人,深圳,一线,10198,13700,1.343,否,低,中,3,JOBFCB0F079AC
19579,男,临床医学,博士,创业,医疗,联合创始人,西安,新一线,6848,9400,1.373,是,高,高,5,JOBC9C9C5D0E3
19580,女,化学,本科,公务员,政府机关,政策研究员,广州,一线,18316,15400,0.841,是,低,低,2,JOB78269178D9
19581,男,金融学,硕士,公务员,政府,基层治理专员,西安,新一线,8898,7100,0.798,否,低,中,2,JOB6BB6AC8896
19582,男,金融学,博士,创业,银行,联合创始人,重庆,新一线,14714,20700,1.407,是,中,中,4,JOB387289E88C
19583,女,金融学,硕士,就业,政府,基层治理专员,上海,一线,8624,11400,1.322,否,低,中,3,JOB44C5979FA1
19584,男,哲学,硕士,出国,教育,海外项目助理,武汉,新一线,9762,8200,0.84,是,高,高,4,JOBBA2A58A18C
19585,男,生物学,博士,出国,科研,海外研究助理,重庆,新一线,10184,9200,0.903,否,高,高,5,JOB51A144863B
19586,女,哲学,硕士,公务员,政府机关,基层治理专员,深圳,一线,13926,16400,1.178,否,中,中,4,JOB197BE92507
19587,男,哲学,硕士,自由职业,互联网,课程创作者,深圳,一线,9825,15500,1.578,是,低,高,4,JOBADAD007D5E
19588,男,计算机,硕士,创业,互联网,创业者,武汉,新一线,18955,28100,1.482,是,高,高,5,JOB13B5FA30FA
19589,男,临床医学,博士,出国,教育,海外研究生,广州,一线,4146,3900,0.941,是,中,高,4,JOB21BB64DB54
19590,女,生物学,硕士,自由职业,教育,自由职业者,南京,新一线,11040,11500,1.042,是,中,中,4,JOB00F2EC282A
19591,女,哲学,硕士,公务员,政府机关,公务员,成都,新一线,16396,18000,1.098,否,中,中,4,JOB7C954B9DEC
19592,男,土木工程,博士,创业,建筑,联合创始人,北京,一线,19524,31900,1.634,否,高,中,4,JOB77039601DF
19593,女,临床医学,博士,公务员,政府机关,选调生,重庆,新一线,17875,19200,1.074,是,低,中,4,JOB17C2C68074
19594,男,生物学,博士,出国,科研,海外研究生,上海,一线,3130,4700,1.502,是,高,高,5,JOB9A3E536F5F
19595,女,物理学,博士,创业,互联网,项目负责人,北京,一线,10258,16700,1.628,否,低,中,3,JOB96EBAA2200
19596,男,哲学,本科,公务员,政府机关,政策研究员,杭州,新一线,17100,18100,1.058,是,中,低,3,JOBF50C331F2A
19597,男,化学,博士,出国,教育,海外项目助理,武汉,新一线,5065,3500,0.691,否,低,高,2,JOBBA2A58A18C
19598,男,计算机,博士,创业,金融,工作室负责人,成都,新一线,5222,7000,1.34,是,低,中,4,JOBB2984322FE
19599,男,金融学,本科,创业,金融,项目负责人,广州,一线,5599,8300,1.482,是,高,中,4,JOB9ACDDA832D
19600,女,化学,硕士,自由职业,教育,独立咨询顾问,重庆,新一线,11502,9000,0.782,否,低,中,2,JOB3BB12F4610
19601,男,临床医学,本科,出国,医疗,海外研究生,重庆,新一线,4526,3600,0.795,否,高,中,3,JOB34E4137563
19602,男,土木工程,硕士,创业,互联网,产品创业者,武汉,新一线,8672,10700,1.234,否,低,高,4,JOB3E0A195DB5
19603,男,历史学,博士,就业,科研,研究员,西安,新一线,10734,12400,1.155,是,低,高,4,JOB79048A3A88
19604,女,化学,硕士,公务员,政府,行政执法辅助岗,北京,一线,7048,8200,1.163,否,低,中,3,JOB046578AB3B
19605,女,土木工程,博士,公务员,政府机关,行政专员,西安,新一线,16996,19100,1.124,是,低,中,3,JOBF5C18E399A
